Group Name,Project Name,Tool,Scanner Name,Status,Vulnerability,Details,Additional Info,Severity,CVE,CWE,Other Identifiers,Detected At,Location,Activity,Comments,Full Path,CVSS Vectors,Dismissal Reason,Vulnerability ID
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Use of a broken or risky cryptographic algorithm,"The application was found using an insecure or risky digest or signature algorithm. MD2, MD4,\n MD5  and SHA1 hash algorithms have been found to be vulnerable to producing collisions.\n\nThis means\nthat two different values, when hashed, can lead to the same hash value. If the application is\ntrying\nto use these hash methods for storing passwords, then it is recommended to switch to a\npassword hashing\nalgorithm such as Argon2id or PBKDF2.\n\nNote that the `Crypto` and `Cryptodome` Python packages are no longer recommended for\nnew applications, instead consider using the [cryptography](https://cryptography.io/) package.\n\nExample of creating a SHA-384 hash using the `cryptography` package:\n```\nfrom cryptography.hazmat.primitives import hashes\n# Create a SHA384 digest\ndigest = hashes.Hash(hashes.SHA384())\n# Update the digest with some initial data\ndigest.update(b""some data to hash"")\n# Add more data to the digest\ndigest.update(b""some more data"")\n# Finalize the digest as bytes\nresult = digest.finalize()\n```\n\nFor more information on secure password storage see OWASP:\n- https://cheatsheetseries.owasp.org/cheatsheets/Password_Storage_Cheat_Sheet.html\n\nFor more information on the cryptography module see:\n- https://cryptography.io/en/latest/\n",,medium,,CWE-327,"""A3:2017 - Sensitive Data Exposure""; ""Bandit Test ID B303""; ""A02:2021 - Cryptographic Failures""; bandit.B303-1",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/pdfminer/pdfdocument.py"", ""start_line""=>427}",false,"",code-scanning-toolset/translation/98405,"",,98405
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Use of a broken or risky cryptographic algorithm,"The application was found using an insecure or risky digest or signature algorithm. MD2, MD4,\n MD5  and SHA1 hash algorithms have been found to be vulnerable to producing collisions.\n\nThis means\nthat two different values, when hashed, can lead to the same hash value. If the application is\ntrying\nto use these hash methods for storing passwords, then it is recommended to switch to a\npassword hashing\nalgorithm such as Argon2id or PBKDF2.\n\nNote that the `Crypto` and `Cryptodome` Python packages are no longer recommended for\nnew applications, instead consider using the [cryptography](https://cryptography.io/) package.\n\nExample of creating a SHA-384 hash using the `cryptography` package:\n```\nfrom cryptography.hazmat.primitives import hashes\n# Create a SHA384 digest\ndigest = hashes.Hash(hashes.SHA384())\n# Update the digest with some initial data\ndigest.update(b""some data to hash"")\n# Add more data to the digest\ndigest.update(b""some more data"")\n# Finalize the digest as bytes\nresult = digest.finalize()\n```\n\nFor more information on secure password storage see OWASP:\n- https://cheatsheetseries.owasp.org/cheatsheets/Password_Storage_Cheat_Sheet.html\n\nFor more information on the cryptography module see:\n- https://cryptography.io/en/latest/\n",,medium,,CWE-327,"""A3:2017 - Sensitive Data Exposure""; ""Bandit Test ID B303""; ""A02:2021 - Cryptographic Failures""; bandit.B303-1",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/pdfminer/pdfdocument.py"", ""start_line""=>470}",false,"",code-scanning-toolset/translation/98406,"",,98406
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/format/pdf/document_il/utils/matrix_helper.py"", ""start_line""=>57}",false,"",code-scanning-toolset/translation/98407,"",,98407
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/format/pdf/document_il/midend/typesetting.py"", ""start_line""=>138}",false,"",code-scanning-toolset/translation/98408,"",,98408
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/format/pdf/document_il/midend/typesetting.py"", ""end_line""=>141, ""start_line""=>139}",false,"",code-scanning-toolset/translation/98409,"",,98409
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/pdfminer/pdfdevice.py"", ""start_line""=>393}",false,"",code-scanning-toolset/translation/98410,"",,98410
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/pdfminer/pdftypes.py"", ""start_line""=>248}",false,"",code-scanning-toolset/translation/98411,"",,98411
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/pdfminer/converter.py"", ""start_line""=>96}",false,"",code-scanning-toolset/translation/98412,"",,98412
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/pdfminer/converter.py"", ""start_line""=>79}",false,"",code-scanning-toolset/translation/98413,"",,98413
Code-Scanning-Toolset,Translation,sast,Semgrep,detected,Improper check for unusual or exceptional conditions,"The application was found using `assert` in non-test code. Usually reserved for debug and test\ncode, the `assert`\nfunction is commonly used to test conditions before continuing execution. However, enclosed\ncode will be removed\nwhen compiling Python code to optimized byte code. Depending on the assertion and subsequent\nlogic, this could\nlead to undefined behavior of the application or application crashes.\n\nTo remediate this issue, remove the `assert` calls. If necessary, replace them with either `if`\nconditions or\n`try/except` blocks.\n\nExample using `try/except` instead of `assert`:\n```\n# Below try/except is equal to the assert statement of:\n# assert user.is_authenticated(), ""user must be authenticated""\ntry:\n    if not user.is_authenticated():\n        raise AuthError(""user must be authenticated"")\nexcept AuthError as e:\n    # Handle error\n    # ...\n    # Return, do not continue processing\n    return\n```\n",,info,,CWE-754,"bandit.B101; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""; ""Bandit Test ID B101""",2026-05-26 10:16:49 UTC,"{""file""=>""src/doctranslator/pdfminer/utils.py"", ""start_line""=>101}",false,"",code-scanning-toolset/translation/98414,"",,98414
